# TCEQ regulated entities under the Electric Generating Facilities
# unit rule (8340), standby gensets at stores/schools/hospitals
# removed, most-likely-generation first. One RN per line.
# Use: permits_cli.py scrape --rn-file data/scrape_targets_egf.txt
RN112373501,LIBERTY POWER INNOVATIONS LLC
RN110807120,AVOCET POWER CENTER LLC
RN110786258,GOODALTA POWER CENTER LLC
RN110765526,ALTAJAC POWER CENTER LLC
RN110597739,DFLEX POWER LLC
RN110451648,CASTLEMAN POWER DEVELOPMENT LLC
RN109785006,VICTORIA CITY POWER LLC
RN109784165,VICTORIA PORT POWER LLC
RN100543040,POWERSECURE INC
RN105467930,DENTON POWER  LLC
RN109001842,CASTLEMAN POWER SYSTEMS INTERNATIONAL LLC
RN108462102,CASTLEMAN POWER SYSTEMS INTERNATIONAL LLC
RN100216092,BRAZOS VALLEY ENERGY  LLC
RN106555923,POWER DEPOT TEXAS GROUP A LLC
RN106579691,POWER DEPOT TEXAS GROUP A LLC
RN106565476,POWER DEPOT TEXAS GROUP A LLC
RN106557416,POWER DEPOT TEXAS GROUP A LLC
RN106557093,POWER DEPOT TEXAS GROUP A LLC
RN106556509,POWER DEPOT TEXAS GROUP A LLC
RN106556343,POWER DEPOT TEXAS GROUP A LLC
RN106556046,APEX MATAGORDA ENERGY CENTER LLC
RN106539406,POWER DEPOT TEXAS GROUP A LLC
RN106537988,POWER DEPOT TEXAS GROUP A LLC
RN106538077,POWER DEPOT TEXAS GROUP A LLC
RN106506397,POWER DEPOT TEXAS GROUP A LLC
RN106498843,POWER DEPOT TEXAS GROUP A LLC
RN106498744,POWER DEPOT TEXAS GROUP A LLC
RN106485618,POWER DEPOT TEXAS GROUP A LLC
RN106471600,APEX BETHEL ENERGY CENTER LLC
RN100216092,BRAZOS VALLEY ENERGY LLC
RN100226067,BAYTOWN ENERGY CENTER LP
RN105467930,DENTON POWER LLC
RN100825389,NRG TEXAS POWER LLC
RN101478238,NELSON GARDENS LANDFILL POWER LTD
